date_time,holiday,temp,clouds_all,weather_main,traffic_volume,weekday,hour,month
2012-10-02 09:00:00,no holiday,288.28,40,Clouds,5545,1,Morning,10
2012-10-02 10:00:00,no holiday,289.36,75,Clouds,4516,1,Morning,10
2012-10-02 11:00:00,no holiday,289.58,90,Clouds,4767,1,Morning,10
2012-10-02 12:00:00,no holiday,290.13,90,Clouds,5026,1,Afternoon,10
2012-10-02 13:00:00,no holiday,291.14,75,Clouds,4918,1,Afternoon,10
2012-10-02 14:00:00,no holiday,291.72,1,Clear,5181,1,Afternoon,10
2012-10-02 15:00:00,no holiday,293.17,1,Clear,5584,1,Afternoon,10
2012-10-02 16:00:00,no holiday,293.86,1,Clear,6015,1,Evening,10
2012-10-02 17:00:00,no holiday,294.14,20,Clouds,5791,1,Evening,10
2012-10-02 18:00:00,no holiday,293.1,20,Clouds,4770,1,Evening,10
2012-10-02 19:00:00,no holiday,290.97,20,Clouds,3539,1,Evening,10
2012-10-02 20:00:00,no holiday,289.38,1,Clear,2784,1,Night,10
2012-10-02 21:00:00,no holiday,288.61,1,Clear,2361,1,Night,10
2012-10-02 22:00:00,no holiday,287.16,1,Clear,1529,1,Night,10
2012-10-02 23:00:00,no holiday,285.45,1,Clear,963,1,Night,10
2012-10-03 00:00:00,no holiday,284.63,1,Clear,506,2,Late Night,10
2012-10-03 01:00:00,no holiday,283.47,1,Clear,321,2,Late Night,10
2012-10-03 02:00:00,no holiday,281.18,1,Clear,273,2,Late Night,10
2012-10-03 03:00:00,no holiday,281.09,1,Clear,367,2,Late Night,10
2012-10-03 04:00:00,no holiday,279.53,1,Clear,814,2,Early Morning,10
2012-10-03 05:00:00,no holiday,278.62,1,Clear,2718,2,Early Morning,10
2012-10-03 06:00:00,no holiday,278.23,1,Clear,5673,2,Early Morning,10
2012-10-03 08:00:00,no holiday,278.12,1,Clear,6511,2,Morning,10
2012-10-03 09:00:00,no holiday,282.48,1,Clear,5471,2,Morning,10
2012-10-03 12:00:00,no holiday,291.97,1,Clear,5097,2,Afternoon,10
2012-10-03 13:00:00,no holiday,293.23,1,Clear,4887,2,Afternoon,10
2012-10-03 14:00:00,no holiday,294.31,1,Clear,5337,2,Afternoon,10
2012-10-03 15:00:00,no holiday,295.17,1,Clear,5692,2,Afternoon,10
2012-10-03 16:00:00,no holiday,295.13,1,Clear,6137,2,Evening,10
2012-10-03 18:00:00,no holiday,293.66,20,Clouds,4623,2,Evening,10
2012-10-03 19:00:00,no holiday,290.65,20,Clouds,3591,2,Evening,10
2012-10-03 20:00:00,no holiday,288.19,20,Clouds,2898,2,Night,10
2012-10-03 21:00:00,no holiday,287.1,1,Clear,2637,2,Night,10
2012-10-03 22:00:00,no holiday,286.25,1,Clear,1777,2,Night,10
2012-10-03 23:00:00,no holiday,285.26,1,Clear,1015,2,Night,10
2012-10-04 00:00:00,no holiday,284.55,1,Clear,598,3,Late Night,10
2012-10-04 01:00:00,no holiday,283.47,1,Clear,369,3,Late Night,10
2012-10-04 02:00:00,no holiday,283.17,1,Clear,312,3,Late Night,10
2012-10-04 03:00:00,no holiday,282.04,1,Clear,367,3,Late Night,10
2012-10-04 04:00:00,no holiday,281.69,1,Clear,835,3,Early Morning,10
2012-10-04 05:00:00,no holiday,281.32,1,Clear,2726,3,Early Morning,10
2012-10-04 06:00:00,no holiday,280.74,1,Clear,5689,3,Early Morning,10
2012-10-04 07:00:00,no holiday,280.57,1,Clear,6990,3,Early Morning,10
2012-10-04 08:00:00,no holiday,281.86,1,Clear,5985,3,Morning,10
2012-10-04 09:00:00,no holiday,284.98,1,Clear,5309,3,Morning,10
2012-10-04 10:00:00,no holiday,289.18,1,Clear,4603,3,Morning,10
2012-10-04 11:00:00,no holiday,291.55,1,Clear,4884,3,Morning,10
2012-10-04 12:00:00,no holiday,294.97,1,Clear,5104,3,Afternoon,10
2012-10-04 13:00:00,no holiday,296.38,1,Clear,5178,3,Afternoon,10
2012-10-04 14:00:00,no holiday,297.32,1,Clear,5501,3,Afternoon,10
2012-10-04 15:00:00,no holiday,298.17,1,Clear,5713,3,Afternoon,10
2012-10-04 16:00:00,no holiday,298.06,20,Clouds,6292,3,Evening,10
2012-10-04 17:00:00,no holiday,297.67,20,Clouds,6057,3,Evening,10
2012-10-04 18:00:00,no holiday,296.36,40,Clouds,4907,3,Evening,10
2012-10-04 19:00:00,no holiday,293.85,40,Clouds,3503,3,Evening,10
2012-10-04 20:00:00,no holiday,292.43,40,Clouds,3037,3,Night,10
2012-10-04 21:00:00,no holiday,291.77,75,Clouds,2822,3,Night,10
2012-10-04 22:00:00,no holiday,291.36,75,Clouds,1992,3,Night,10
2012-10-04 23:00:00,no holiday,291.12,75,Clouds,1166,3,Night,10
2012-10-05 00:00:00,no holiday,290.63,75,Clouds,627,4,Late Night,10
2012-10-05 01:00:00,no holiday,290.46,40,Clouds,388,4,Late Night,10
2012-10-05 03:00:00,no holiday,289.26,0,Clear,368,4,Late Night,10
2012-10-05 05:00:00,no holiday,283.21,75,Clouds,2489,4,Early Morning,10
2012-10-05 06:00:00,no holiday,282.24,90,Clouds,5537,4,Early Morning,10
2012-10-05 07:00:00,no holiday,281.69,90,Clouds,6628,4,Early Morning,10
2012-10-05 08:00:00,no holiday,280.57,90,Clouds,5534,4,Morning,10
2012-10-05 09:00:00,no holiday,280.02,75,Clouds,5403,4,Morning,10
2012-10-05 10:00:00,no holiday,280.11,75,Clouds,4770,4,Morning,10
2012-10-05 11:00:00,no holiday,280.0,90,Clouds,5217,4,Morning,10
2012-10-05 12:00:00,no holiday,280.53,90,Clouds,5870,4,Afternoon,10
2012-10-05 13:00:00,no holiday,281.43,75,Clouds,5967,4,Afternoon,10
2012-10-05 14:00:00,no holiday,281.78,90,Clouds,6108,4,Afternoon,10
2012-10-05 15:00:00,no holiday,281.91,90,Clouds,6128,4,Afternoon,10
2012-10-05 16:00:00,no holiday,281.73,90,Clouds,6069,4,Evening,10
2012-10-05 17:00:00,no holiday,281.42,90,Clouds,6169,4,Evening,10
2012-10-05 18:00:00,no holiday,280.87,90,Clouds,5384,4,Evening,10
2012-10-05 19:00:00,no holiday,280.15,90,Clouds,4063,4,Evening,10
2012-10-05 20:00:00,no holiday,279.78,90,Clouds,3364,4,Night,10
2012-10-05 21:00:00,no holiday,279.65,75,Clouds,2971,4,Night,10
2012-10-05 22:00:00,no holiday,279.22,40,Clouds,2450,4,Night,10
2012-10-05 23:00:00,no holiday,279.06,40,Clouds,1832,4,Night,10
2012-10-06 00:00:00,no holiday,278.81,90,Clouds,1231,5,Late Night,10
2012-10-06 01:00:00,no holiday,278.55,90,Clouds,718,5,Late Night,10
2012-10-06 02:00:00,no holiday,278.59,90,Clouds,545,5,Late Night,10
2012-10-06 04:00:00,no holiday,276.99,75,Clouds,411,5,Early Morning,10
2012-10-06 05:00:00,no holiday,276.35,20,Clouds,688,5,Early Morning,10
2012-10-06 06:00:00,no holiday,275.4,1,Clear,1352,5,Early Morning,10
2012-10-06 07:00:00,no holiday,275.17,1,Clear,2072,5,Early Morning,10
2012-10-06 08:00:00,no holiday,274.99,1,Clear,3342,5,Morning,10
2012-10-06 09:00:00,no holiday,275.09,40,Clouds,4258,5,Morning,10
2012-10-06 10:00:00,no holiday,276.88,20,Clouds,4861,5,Morning,10
2012-10-06 11:00:00,no holiday,278.04,20,Clouds,5191,5,Morning,10
2012-10-06 12:00:00,no holiday,279.08,40,Clouds,5669,5,Afternoon,10
2012-10-06 13:00:00,no holiday,280.12,75,Clouds,5074,5,Afternoon,10
2012-10-06 14:00:00,no holiday,280.25,75,Clouds,5025,5,Afternoon,10
2012-10-06 15:00:00,no holiday,280.0,75,Clouds,5153,5,Afternoon,10
2012-10-06 16:00:00,no holiday,279.06,90,Clouds,5024,5,Evening,10
2012-10-06 17:00:00,no holiday,278.91,90,Clouds,4779,5,Evening,10
2012-10-06 18:00:00,no holiday,278.39,90,Clouds,4362,5,Evening,10
2012-10-06 19:00:00,no holiday,278.16,90,Clouds,3860,5,Evening,10
2012-10-06 20:00:00,no holiday,278.16,90,Clouds,3160,5,Night,10
2012-10-06 21:00:00,no holiday,277.93,90,Clouds,2992,5,Night,10
2012-10-06 22:00:00,no holiday,276.9,90,Clouds,3202,5,Night,10
2012-10-06 23:00:00,no holiday,276.34,75,Clouds,1941,5,Night,10
2012-10-07 00:00:00,no holiday,276.11,75,Clouds,1233,6,Late Night,10
2012-10-07 03:00:00,no holiday,275.73,90,Clouds,323,6,Late Night,10
2012-10-07 04:00:00,no holiday,275.65,90,Clouds,312,6,Early Morning,10
2012-10-07 05:00:00,no holiday,275.51,75,Clouds,627,6,Early Morning,10
2012-10-07 06:00:00,no holiday,275.05,90,Clouds,1508,6,Early Morning,10
2012-10-07 07:00:00,no holiday,274.77,90,Clouds,1539,6,Early Morning,10
2012-10-07 08:00:00,no holiday,274.77,75,Clouds,2232,6,Morning,10
2012-10-07 09:00:00,no holiday,275.55,75,Clouds,4568,6,Morning,10
2012-10-07 10:00:00,no holiday,276.24,75,Clouds,4624,6,Morning,10
2012-10-07 11:00:00,no holiday,277.01,90,Clouds,4529,6,Morning,10
2012-10-07 12:00:00,no holiday,277.43,90,Clouds,5139,6,Afternoon,10
2012-10-07 13:00:00,no holiday,278.45,90,Clouds,6640,6,Afternoon,10
2012-10-07 14:00:00,no holiday,279.27,90,Clouds,6589,6,Afternoon,10
2012-10-07 15:00:00,no holiday,279.27,90,Clouds,4429,6,Afternoon,10
2012-10-07 16:00:00,no holiday,279.44,90,Clouds,4329,6,Evening,10
2012-10-07 17:00:00,no holiday,279.32,90,Clouds,3833,6,Evening,10
2012-10-07 18:00:00,no holiday,279.27,90,Clouds,4015,6,Evening,10
2012-10-07 19:00:00,no holiday,278.11,90,Clouds,3382,6,Evening,10
2012-10-07 20:00:00,no holiday,276.79,75,Clouds,2815,6,Night,10
2012-10-07 21:00:00,no holiday,275.73,90,Clouds,2110,6,Night,10
2012-10-07 22:00:00,no holiday,274.88,75,Clouds,1555,6,Night,10
2012-10-07 23:00:00,no holiday,273.92,20,Clouds,959,6,Night,10
2012-10-08 00:00:00,yes holiday,273.08,20,Clouds,455,0,Late Night,10
2012-10-08 01:00:00,no holiday,272.62,20,Clouds,336,0,Late Night,10
2012-10-08 02:00:00,no holiday,271.78,1,Clear,265,0,Late Night,10
2012-10-08 03:00:00,no holiday,271.05,1,Clear,314,0,Late Night,10
2012-10-08 04:00:00,no holiday,270.63,1,Clear,779,0,Early Morning,10
2012-10-08 05:00:00,no holiday,270.33,1,Clear,2571,0,Early Morning,10
2012-10-08 06:00:00,no holiday,269.61,20,Clouds,5563,0,Early Morning,10
2012-10-08 07:00:00,no holiday,270.01,20,Clouds,6676,0,Early Morning,10
2012-10-08 08:00:00,no holiday,271.23,20,Clouds,5966,0,Morning,10
2012-10-08 09:00:00,no holiday,273.71,20,Clouds,4832,0,Morning,10
2012-10-08 10:00:00,no holiday,276.77,20,Clouds,4395,0,Morning,10
2012-10-08 11:00:00,no holiday,279.47,20,Clouds,4411,0,Morning,10
2012-10-08 12:00:00,no holiday,279.84,1,Clear,4648,0,Afternoon,10
