,holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume
0,no holiday,288.28,0.0,0.0,40,Clouds,scattered clouds,2012-10-02 09:00:00,5545
1,no holiday,289.36,0.0,0.0,75,Clouds,broken clouds,2012-10-02 10:00:00,4516
2,no holiday,289.58,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 11:00:00,4767
3,no holiday,290.13,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 12:00:00,5026
4,no holiday,291.14,0.0,0.0,75,Clouds,broken clouds,2012-10-02 13:00:00,4918
5,no holiday,291.72,0.0,0.0,1,Clear,sky is clear,2012-10-02 14:00:00,5181
6,no holiday,293.17,0.0,0.0,1,Clear,sky is clear,2012-10-02 15:00:00,5584
7,no holiday,293.86,0.0,0.0,1,Clear,sky is clear,2012-10-02 16:00:00,6015
8,no holiday,294.14,0.0,0.0,20,Clouds,few clouds,2012-10-02 17:00:00,5791
9,no holiday,293.1,0.0,0.0,20,Clouds,few clouds,2012-10-02 18:00:00,4770
10,no holiday,290.97,0.0,0.0,20,Clouds,few clouds,2012-10-02 19:00:00,3539
11,no holiday,289.38,0.0,0.0,1,Clear,sky is clear,2012-10-02 20:00:00,2784
12,no holiday,288.61,0.0,0.0,1,Clear,sky is clear,2012-10-02 21:00:00,2361
13,no holiday,287.16,0.0,0.0,1,Clear,sky is clear,2012-10-02 22:00:00,1529
14,no holiday,285.45,0.0,0.0,1,Clear,sky is clear,2012-10-02 23:00:00,963
15,no holiday,284.63,0.0,0.0,1,Clear,sky is clear,2012-10-03 00:00:00,506
16,no holiday,283.47,0.0,0.0,1,Clear,sky is clear,2012-10-03 01:00:00,321
17,no holiday,281.18,0.0,0.0,1,Clear,sky is clear,2012-10-03 02:00:00,273
18,no holiday,281.09,0.0,0.0,1,Clear,sky is clear,2012-10-03 03:00:00,367
19,no holiday,279.53,0.0,0.0,1,Clear,sky is clear,2012-10-03 04:00:00,814
